Predichos;Clasificación
0,704192204;0
0,427761275;0
0,898942;1
0,370771281;0
0,56841076;0
0,205323015;0
0,551076684;0
0,250181813;0
0,792116449;0
0,911940077;1
0,840714123;1
0,56841076;0
0,346992191;0
0,716244918;0
0,602440586;0
0,133577748;0
0,236894104;0
0,886753843;1
0,31225197;0
4,37432E-07;0
0,174423044;0
0,409671584;0
0,904527432;1
0,205323015;0
0,205323015;0
0,095252863;0
0,769722364;0
0,095252863;0
0,673633046;0
0,095252863;0
0,778373332;0
0,09485767;0
0,26443372;0
0,815880432;0
0,72998409;0
0,1711313;0
0,58866344;0
0,593799236;0
0,245672523;0
0,427761275;0
0,31408697;0
0,704192204;0
0,13585686;0
0,567283356;0
0,235325134;0
0,09485767;0
0,774441352;0
0,649159275;0
0,235325134;0
0,835130297;1
0,204574413;0
0,765238805;0
0,725496375;0
0,095252863;0
0,506693127;0
0,835130297;1
0,524174319;0
0,867924952;1
0,218975626;0
0,56841076;0
0,26443372;0
0,777549857;0
0,820024671;1
0,862207047;1
0,205323015;0
0,205323015;0
0,507034927;0
0,216463217;0
0,834941929;1
0,781542932;0
0,205323015;0
0,492393663;0
0,698277581;0
0,444871221;0
0,47051058;0
0,774441352;0
0,774441352;0
0,631123612;0
0,715966916;0
0,09485767;0
0,349236009;0
0,095252863;0
0,433408184;0
0,205323015;0
0,806231893;0
0,180835417;0
0,51852214;0
0,095252863;0
0,705310171;0
0,234149574;0
0,716244918;0
0,725496375;0
0,66021233;0
0,134441025;0
0,857702025;1
0,205323015;0
0,670822803;0
0,56841076;0
0,433408184;0
0,26443372;0
